Num.,polymer name,m1,c1,m2,c2,Size_pred,PDI_pred,EE_pred,NDI-Size_pred,NDI-PDI_pred,NDI-EE_pred,Deff_pred,logTE_pred
576,,PPG,970,PEG,53,125.0,0.4337000000000001,93.3,1.13044814027,1.6495562618235597,0.5046201944351196,0.20374540984630585,4.66886017757825
577,,PPG,874,PEG,366,125.0,0.2581999999999999,84.2,1.1740217435249998,1.5025201161097477,0.8044216632843018,0.26154354214668274,5.579835375407173
578,,PPG,129,PEG,949,80.61538461538461,0.0807,85.7,1.078386220115,2.422340858730741,0.8571379780769348,0.3898210823535919,5.8886134795669625
579,,PPG,774,PEG,685,87.5,0.0879,84.2,1.0877965984699998,1.197622137597714,0.9501041769981384,0.5399951934814453,6.033465982958447
580,,PPG,706,PEG,547,357.0,0.24599999999999989,84.2,1.0779525452,1.0939380878986071,0.9424911737442017,0.4742201566696167,5.733559868699071
581,,PPG,533,PEG,285,125.0,0.24099999999999985,84.2,1.1918343548299999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.586836435332173
582,,PPG,522,PEG,584,77.5,0.0865,84.2,1.099606073685,1.4197792021062634,0.9345209002494812,0.539495587348938,5.947699287791352
583,,PPG,338,PEG,924,77.5,0.07819999999999999,88.5,1.136254702315,2.496700487737343,0.9340671896934509,0.5774606466293335,5.938051041635781
584,,PPG,584,PEG,118,125.0,0.32939999999999997,33.6,1.0196234456450004,1.4503998020050788,0.8157683610916138,0.24337857961654663,5.540950329150469
585,,PPG,332,PEG,268,357.0,0.22069999999999992,84.2,1.0815482141850001,1.0905715458606071,0.9480200409889221,0.4745093286037445,5.724343834892294
586,,PPG,537,PEG,923,77.5,0.0783,88.5,1.155053014805,3.1702955084460474,0.9322034120559692,0.5534111261367798,5.920213518421059
587,,PPG,7,PEG,651,74.75,0.09019999999999997,92.5,1.272352001965,2.3892298496763336,0.6855288743972778,0.34979182481765747,5.327472739779765
588,,PPG,633,PEG,110,397.0,0.36539999999999995,33.6,1.0150362415950005,1.4835263337772262,0.7907519936561584,0.2277042418718338,5.542073242335469
589,,PPG,439,PEG,406,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9501041769981384,0.5399951934814453,6.0410320623757805
590,,PPG,216,PEG,209,87.5,0.0628,84.2,1.0887801307649998,1.2368801121485693,0.9373915195465088,0.5355812311172485,6.03899735920778
591,,PPG,601,PEG,979,77.5,0.0783,88.5,1.15626836507,3.191208967434101,0.9322034120559692,0.5534111261367798,5.920213518421059
592,,PPG,406,PEG,5,125.0,0.40669999999999995,93.3,1.1265912731349998,1.8041260802752577,0.5046201944351196,0.20400503277778625,4.66557474725825
593,,PPG,110,PEG,297,77.5,0.05500000000000002,88.5,1.1030729818399998,2.4476162327595077,0.9409851431846619,0.5417956709861755,5.986112451467013
594,,PPG,142,PEG,587,96.0,0.06319999999999996,92.6,1.152620502665,2.393457669712496,0.8908458352088928,0.6230005621910095,5.929697887003864
595,,PPG,994,PEG,176,397.0,0.36539999999999995,33.6,1.0150362415950005,1.4835263337772262,0.7907519936561584,0.2277042418718338,5.542073242335469
596,,PPG,562,PEG,233,125.0,0.2581999999999999,84.2,1.1740217435249998,1.5025201161097477,0.8044216632843018,0.26154354214668274,5.579835375407173
597,,PPG,419,PEG,463,77.5,0.08629999999999999,84.2,1.099801121185,1.4197792021062634,0.9345209002494812,0.5417355895042419,5.947699287791352
598,,PPG,917,PEG,531,125.0,0.2375999999999999,84.2,1.1920642398849999,1.5031424887799558,0.8458985090255737,0.3532657325267792,5.624117881595726
599,,PPG,264,PEG,359,77.5,0.06059999999999999,84.2,1.14849984389,3.206824840445601,0.9246906042098999,0.4872141480445862,5.885948719937199
600,,PPG,546,PEG,393,125.0,0.2367999999999999,84.2,1.06233244718,1.2588638919498902,0.8505036234855652,0.36596816778182983,5.659946930530837
601,,PPG,878,PEG,679,357.0,0.24599999999999989,84.2,1.0779525452,1.0939380878986071,0.9424911737442017,0.4742201566696167,5.733559868699071
602,,PPG,18,PEG,533,74.75,0.08759999999999994,92.5,1.17500362641,2.288053822595685,0.8549312949180603,0.3732522428035736,5.831293880415965
603,,PPG,712,PEG,662,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9373915195465088,0.5409954786300659,6.0410320623757805
604,,PPG,264,PEG,625,77.5,0.07819999999999999,88.5,1.137370031785,2.496700487737343,0.9340671896934509,0.5774606466293335,5.942411137808638
605,,PPG,26,PEG,640,74.75,0.09019999999999997,92.5,1.1736502456049998,2.3892298496763336,0.8549312949180603,0.3732522428035736,5.830134454050131
606,,PPG,633,PEG,226,125.0,0.31529999999999997,33.6,1.0618857526050003,1.4613815745312237,0.8044216632843018,0.26154354214668274,5.5458562661230495
607,,PPG,599,PEG,26,125.0,0.42900000000000005,93.3,1.13044814027,1.6537370810057026,0.5046201944351196,0.20400503277778625,4.66886017757825
608,,PPG,141,PEG,0,125.0,0.3952000000000001,93.3,1.13575561816,1.7764433190366,0.5014914870262146,0.14279304444789886,4.63691970082575
609,,PPG,53,PEG,592,80.61538461538461,0.06250000000000001,85.7,1.0986841556500002,2.4214657653246694,0.855320155620575,0.3807220757007599,5.864102401514856
610,,PPG,487,PEG,251,125.0,0.2266999999999999,84.2,1.1878343548299999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.586836435332173
611,,PPG,855,PEG,781,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9501041769981384,0.5399951934814453,6.0410320623757805
612,,PPG,726,PEG,184,125.0,0.35019999999999996,33.6,1.0215547171750003,1.4413737455979359,0.811000406742096,0.26154354214668274,5.546612519202287
613,,PPG,504,PEG,199,125.0,0.28669999999999995,33.6,1.0753288324700003,1.4623283121993071,0.8044216632843018,0.26154354214668274,5.536608564324716
614,,PPG,550,PEG,982,77.5,0.0783,88.5,1.1540349536749999,3.1702955084460474,0.9312310218811035,0.5688052773475647,5.920213518421059
615,,PPG,402,PEG,821,77.5,0.07799999999999999,88.5,1.137462050865,2.489964618279139,0.9318186640739441,0.5740095973014832,5.947614971220805
616,,PPG,860,PEG,848,87.5,0.08049999999999999,84.2,1.087697826265,1.261885725785825,0.9373915195465088,0.5409954786300659,6.0410320623757805
617,,PPG,891,PEG,998,77.5,0.0865,84.2,1.099606073685,1.4197792021062634,0.9345209002494812,0.539495587348938,5.947699287791352
618,,PPG,276,PEG,948,77.5,0.08080000000000002,11.700000000000003,1.1326881206600001,2.450204415623369,1.0055807828903198,0.5797597169876099,5.832329198364503
619,,PPG,421,PEG,848,77.5,0.07809999999999999,88.5,1.14125437681,2.500623348433639,0.9318186640739441,0.5740095973014832,5.947614971220805
620,,PPG,989,PEG,930,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9373915195465088,0.5409954786300659,6.0410320623757805
621,,PPG,73,PEG,473,80.61538461538461,0.062,88.5,1.0808931379300002,2.315777660842092,0.8707743287086487,0.39212968945503235,5.9762817003568
622,,PPG,289,PEG,621,77.5,0.07799999999999999,88.5,1.137340099645,2.489964618279139,0.9340671896934509,0.5774606466293335,5.939509141846639
623,,PPG,1000,PEG,31,125.0,0.4337000000000001,93.3,1.1263197405999998,1.7997689235422576,0.5046201944351196,0.20374540984630585,4.66557474725825
624,,PPG,500,PEG,434,87.5,0.08319999999999997,84.2,1.1012292531999999,1.2895632947314102,0.9501041769981384,0.5436757206916809,6.0361600859117805
625,,PPG,16,PEG,261,74.75,0.08439999999999989,93.5,1.0681222566600004,2.29038528041783,0.8668562769889832,0.29738903045654297,5.988132591133683
626,,PPG,387,PEG,4,125.0,0.4043,93.3,1.1265912731349998,1.810128562065993,0.5046201944351196,0.20350360870361328,4.66141206783075
627,,PPG,864,PEG,889,87.5,0.08049999999999999,84.2,1.0904534463399997,1.2846158326190236,0.9373915195465088,0.5416015386581421,6.0410320623757805
628,,PPG,530,PEG,366,125.0,0.2367999999999999,84.2,1.0634903419150001,1.2692250212496816,0.8505036234855652,0.36596816778182983,5.659946930530837
629,,PPG,955,PEG,94,109.0,0.43169999999999986,10.400000000000006,1.204820530275,1.2829440890039585,0.5046201944351196,0.19356901943683624,4.655095350343584
630,,PPG,242,PEG,979,96.0,0.08109999999999998,92.6,1.1529014535750002,2.393457669712496,0.9281814694404602,0.6165409684181213,5.937754920491281
631,,PPG,383,PEG,550,77.5,0.07849999999999999,84.2,1.1578490321650001,3.2058776182239344,0.9322034120559692,0.5534042716026306,5.857215602595615
632,,PPG,477,PEG,131,125.0,0.3228,33.6,1.0222855685950003,1.4558074326930193,0.8044216632843018,0.26154354214668274,5.546612519202287
633,,PPG,966,PEG,699,125.0,0.2367999999999999,84.2,1.06233244718,1.2588638919498902,0.8505036234855652,0.36596816778182983,5.659946930530837
634,,PPG,882,PEG,500,125.0,0.2375999999999999,84.2,1.1920642398849999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.5974153684321735
635,,PPG,574,PEG,345,125.0,0.2375999999999999,84.2,1.1920642398849999,1.5031424887799558,0.8458985090255737,0.3532657325267792,5.624117881595726
636,,PPG,516,PEG,577,77.5,0.0865,84.2,1.099606073685,1.4197792021062634,0.9345209002494812,0.539495587348938,5.947699287791352
637,,PPG,943,PEG,8,125.0,0.4297000000000001,93.3,1.1244043394749998,1.7997689235422576,0.5046201944351196,0.20374540984630585,4.66141206783075
638,,PPG,619,PEG,701,77.5,0.0865,84.2,1.099606073685,1.4230317779912636,0.9345209002494812,0.539495587348938,5.947699287791352
639,,PPG,256,PEG,215,87.5,0.07099999999999997,84.2,1.1016134543299998,1.2867059290759935,0.9480200409889221,0.46266135573387146,6.036216280323781
640,,PPG,668,PEG,612,87.5,0.07949999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9501041769981384,0.5399951934814453,6.0410320623757805
641,,PPG,383,PEG,311,357.0,0.2233999999999999,84.2,1.08211017322,1.090771477170607,0.9480200409889221,0.4745093286037445,5.724343834892294
642,,PPG,934,PEG,167,125.0,0.3349999999999999,33.6,1.0186099117700005,1.4503998020050788,0.7907519936561584,0.2277042418718338,5.536096075847969
643,,PPG,603,PEG,148,125.0,0.35019999999999996,33.6,1.0215547171750003,1.4413737455979359,0.8157683610916138,0.24337857961654663,5.540950329150469
644,,PPG,163,PEG,137,87.5,0.06749999999999999,84.2,1.0709678564899998,1.287801376776053,0.9563841819763184,0.44587385654449463,6.063085729424809
645,,PPG,744,PEG,970,77.5,0.09079999999999999,84.2,1.10144638393,1.3588857185182894,0.9221644401550293,0.49980852007865906,5.954839259596518
646,,PPG,615,PEG,527,87.5,0.08319999999999997,84.2,1.1012292531999999,1.2895632947314102,0.9480200409889221,0.46266135573387146,6.0361600859117805
647,,PPG,61,PEG,680,80.61538461538461,0.0628,85.7,1.0972800709850004,2.4214657653246694,0.855320155620575,0.3807220757007599,5.864102401514856
648,,PPG,613,PEG,427,125.0,0.2367999999999999,84.2,1.0634903419150001,1.2692250212496816,0.8505036234855652,0.36596816778182983,5.659946930530837
649,,PPG,162,PEG,846,96.0,0.08219999999999997,92.6,1.1036309608500001,2.378397970017951,0.8717961311340332,0.672348141670227,6.028185625172966
650,,PPG,398,PEG,650,77.5,0.0783,88.5,1.15626836507,3.191208967434101,0.9322034120559692,0.5534111261367798,5.920213518421059
651,,PPG,747,PEG,420,125.0,0.2375999999999999,84.2,1.1920642398849999,1.5031424887799558,0.7974821925163269,0.26154354214668274,5.5974153684321735
652,,PPG,83,PEG,399,96.0,0.06429999999999995,92.6,1.1049442587000002,2.257617149473826,0.8717961311340332,0.672348141670227,6.0194773061149665
653,,PPG,585,PEG,944,77.5,0.07849999999999999,88.5,1.15529997525,3.191208967434101,0.9322034120559692,0.5534111261367798,5.920213518421059
