column,pearson_r,abs_pearson_r,pearson_p,spearman_r,abs_spearman_r,spearman_p
SlogP_VSA1,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
SlogP_VSA2,0.20498002373645763,0.20498002373645763,0.05539250177704802,0.22730214911427918,0.22730214911427918,0.03319163611479848
SlogP_VSA3,-0.033530131161068476,0.033530131161068476,0.7564618358512264,-0.084298794149708,0.084298794149708,0.43487472929603754
SlogP_VSA5,-0.08898002267885287,0.08898002267885287,0.4097073385767539,0.015561873480685117,0.015561873480685117,0.8855757259407145
SlogP_VSA6,-0.10476007064821796,0.10476007064821796,0.33136842802630484,-0.12134355509111719,0.12134355509111719,0.26008296633657163
TPSA,0.14146391565808625,0.14146391565808625,0.18861172494524353,0.22135465037613225,0.22135465037613225,0.03821083884778649
EState_VSA1,0.015175797172565193,0.015175797172565193,0.8883959970403109,0.1451719578190157,0.1451719578190157,0.17716904198814767
EState_VSA10,-0.026135259827656625,0.026135259827656625,0.8090078007785797,-0.08309359995318819,0.08309359995318819,0.44149321350413007
EState_VSA2,0.17466668891591713,0.17466668891591713,0.10360355670790819,0.11929547853573545,0.11929547853573545,0.26827293796715534
EState_VSA3,-0.19397365031962238,0.19397365031962238,0.07016292112175182,-0.21261968060213451,0.21261968060213451,0.04671956099251717
EState_VSA4,-0.15587437192803916,0.15587437192803916,0.1470015593938525,-0.23870208060201942,0.23870208060201942,0.025111137626974873
EState_VSA5,-0.1926052695364559,0.1926052695364559,0.0722028205543765,-0.10596183214716913,0.10596183214716913,0.32582054091507673
EState_VSA8,-0.22649075707805466,0.22649075707805466,0.03384187873868392,-0.32309052547109696,0.32309052547109696,0.0021383451387665276
EState_VSA9,0.21656883576626845,0.21656883576626845,0.04269640421651448,0.25968059783605124,0.25968059783605124,0.014555251017872218
VSA_EState2,-0.034927014188227384,0.034927014188227384,0.7466511056618303,-0.08309359995318819,0.08309359995318819,0.44149321350413007
VSA_EState3,0.23038975384329757,0.23038975384329757,0.030812478900297053,0.18861091663707033,0.18861091663707033,0.07843139678857954
VSA_EState5,0.02491024068866643,0.02491024068866643,0.8178017043832865,0.08539884484470159,0.08539884484470159,0.4288830920694713
VSA_EState7,-0.17712509603283025,0.17712509603283025,0.0987580861085737,-0.15619958004203327,0.15619958004203327,0.1461494713708987
VSA_EState8,-0.18265418597143163,0.18265418597143163,0.08851009024893984,-0.1022452953305401,0.1022452953305401,0.3431706889144245
FractionCSP3,0.1067787501674497,0.1067787501674497,0.3220833472195795,0.1447562109062465,0.1447562109062465,0.17842610592056732
HeavyAtomCount,0.03233873261706907,0.03233873261706907,0.7648600372787444,0.030654004954821314,0.030654004954821314,0.7767820273944992
NHOHCount,0.23114369296638693,0.23114369296638693,0.0302538976136933,0.32574091198214666,0.32574091198214666,0.001955155273757723
NOCount,0.13180671074841838,0.13180671074841838,0.22090462139810335,0.1511321026865096,0.1511321026865096,0.15985443515636025
NumAliphaticHeterocycles,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
NumAliphaticRings,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
NumAtomStereoCenters,0.062239914305575184,0.062239914305575184,0.5645659123104825,0.162919737269887,0.162919737269887,0.1293619645988777
NumHAcceptors,0.23114369296638693,0.23114369296638693,0.0302538976136933,0.32574091198214666,0.32574091198214666,0.001955155273757723
NumHDonors,0.23114369296638693,0.23114369296638693,0.0302538976136933,0.32574091198214666,0.32574091198214666,0.001955155273757723
NumHeteroatoms,0.13180671074841838,0.13180671074841838,0.22090462139810335,0.1511321026865096,0.1511321026865096,0.15985443515636025
NumHeterocycles,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
NumRotatableBonds,0.025388936853633932,0.025388936853633932,0.8143625970266266,0.07350672789216939,0.07350672789216939,0.49611424804092097
NumSaturatedHeterocycles,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
NumSaturatedRings,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
NumUnspecifiedAtomStereoCenters,0.062239914305575184,0.062239914305575184,0.5645659123104825,0.162919737269887,0.162919737269887,0.1293619645988777
Phi,0.12510989704989223,0.12510989704989223,0.24546957237128475,0.071193282428356,0.071193282428356,0.5098057485253904
RingCount,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
MolLogP,-0.22415750114865185,0.22415750114865185,0.035771630059360154,-0.2251801436767723,0.2251801436767723,0.034914780614670064
MolMR,-0.03745352824064206,0.03745352824064206,0.729009660519814,0.01096369476045224,0.01096369476045224,0.9192479815942928
fr_Al_COO,-0.03353013108281496,0.03353013108281496,0.7564618364019225,-0.084298794149708,0.084298794149708,0.43487472929603754
fr_Al_OH,0.22467915589830623,0.22467915589830623,0.03533237118270097,0.2532966665061587,0.2532966665061587,0.017259651082941876
fr_Al_OH_noTert,0.22467915589830623,0.22467915589830623,0.03533237118270097,0.2532966665061587,0.2532966665061587,0.017259651082941876
fr_COO,-0.03353013108281496,0.03353013108281496,0.7564618364019225,-0.084298794149708,0.084298794149708,0.43487472929603754
fr_COO2,-0.03353013108281496,0.03353013108281496,0.7564618364019225,-0.084298794149708,0.084298794149708,0.43487472929603754
fr_C_O,-0.03353013108281496,0.03353013108281496,0.7564618364019225,-0.084298794149708,0.084298794149708,0.43487472929603754
fr_NH1,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
fr_unbrch_alkane,-0.19397365031962238,0.19397365031962238,0.07016292112175182,-0.21261968060213451,0.21261968060213451,0.04671956099251717
