名称,ndi,Size_after,PDI_After,EE_after,DC,polymer,arms,monomer 1,degree 1,monomer 2,degree 2,MW,concentration,hydrophobicity,,type
136,2.713073073,129,0.25,60.8,0.163,8 arm PEG40000,8,0,0,2,114,40000,20,1,,Hydrophilic
137,2.03987904,117,0.26,70.5,0.074,PEG6000,1,0,0,2,136,6000,1,1,,Hydrophilic
138,2.443887816,111,0.26,77.3,0.082,PEG6000,1,0,0,2,136,6000,5,1,,Hydrophilic
139,2.373965077,106,0.24,78.5,0.098,PEG6000,1,0,0,2,136,6000,10,1,,Hydrophilic
140,2.034920635,104,0.22,80.7,0.091,PEG6000,1,0,0,2,136,6000,20,1,,Hydrophilic
141,2.081608024,105,0.23,61.8,0.068,PEG20000,1,0,0,2,454,20000,1,1,,Hydrophilic
142,1.946266015,100,0.22,81.3,0.095,PEG20000,1,0,0,2,454,20000,5,1,,Hydrophilic
143,2.16332736,93,0.21,63.8,0.103,PEG20000,1,0,0,2,454,20000,10,1,,Hydrophilic
144,1.988907716,91,0.2,62.2,0.111,PEG20000,1,0,0,2,454,20000,20,1,,Hydrophilic
145,1.013179388,142,0.19,58.3,0.096,PLA(Mw: 10000),1,4,138,0,0,10000,1,-1,,Hydrophobic
146,1.378743617,137,0.22,60.9,0.087,PLA(Mw: 10000),1,4,138,0,0,10000,5,-1,,Hydrophobic
147,1.551657482,133,0.21,61.4,0.088,PLA(Mw: 10000),1,4,138,0,0,10000,10,-1,,Hydrophobic
148,1.576676826,131,0.21,60.6,0.094,PLA(Mw: 10000),1,4,138,0,0,10000,20,-1,,Hydrophobic
149,1.216378724,147,0.22,61.2,0.133,PLA(Mw: 20000),1,4,277,0,0,20000,1,-1,,Hydrophobic
150,1.327379124,143,0.23,59.7,0.111,PLA(Mw: 20000),1,4,277,0,0,20000,5,-1,,Hydrophobic
151,0.348603576,335,0.43,60.5,0.118,PLA(Mw: 20000),1,4,277,0,0,20000,10,-1,,Hydrophobic
152,0.277109125,332,0.41,61,0.112,PLA(Mw: 20000),1,4,277,0,0,20000,20,-1,,Hydrophobic
153,0.772457627,153,0.22,43.5,0.038,PLA(Mw: 60000),1,4,833,0,0,60000,1,-1,,Hydrophobic
154,0.429967388,318,0.42,36.7,0.082,PLA(Mw: 60000),1,4,833,0,0,60000,5,-1,,Hydrophobic
155,0.197350243,363,0.44,37.4,0.099,PLA(Mw: 60000),1,4,833,0,0,60000,10,-1,,Hydrophobic
156,0.357117392,410,0.5,37.8,0.117,PLA(Mw: 60000),1,4,833,0,0,60000,20,-1,,Hydrophobic
157,5.379623327,158,0.25,58.4,0.086,PPG(Mw: 200),1,1,3,0,0,200,1,-1,,Hydrophobic
158,3.536591479,152,0.23,59.2,0.091,PPG(Mw: 200),1,1,3,0,0,200,5,-1,,Hydrophobic
159,3.439024084,148,0.23,60.4,0.096,PPG(Mw: 200),1,1,3,0,0,200,10,-1,,Hydrophobic
160,4.689967587,145,0.23,61.3,0.104,PPG(Mw: 200),1,1,3,0,0,200,20,-1,,Hydrophobic
161,4.136689189,143,0.24,60.2,0.103,PPG(Mw: 400),1,1,6,0,0,400,1,-1,,Hydrophobic
162,4.649000804,139,0.23,60.8,0.093,PPG(Mw: 400),1,1,6,0,0,400,5,-1,,Hydrophobic
163,3.284064206,135,0.23,61.3,0.104,PPG(Mw: 400),1,1,6,0,0,400,10,-1,,Hydrophobic
164,4.773531812,133,0.24,62.7,0.087,PPG(Mw: 400),1,1,6,0,0,400,20,-1,,Hydrophobic
165,4.265857354,141,0.25,59.6,0.103,PPG(Mw: 600),1,1,10,0,0,600,1,-1,,Hydrophobic
166,5.268576759,137,0.26,60.4,0.087,PPG(Mw: 600),1,1,10,0,0,600,5,-1,,Hydrophobic
167,5.425818982,133,0.27,61.3,0.094,PPG(Mw: 600),1,1,10,0,0,600,10,-1,,Hydrophobic
168,4.323008364,129,0.26,62.1,0.094,PPG(Mw: 600),1,1,10,0,0,600,20,-1,,Hydrophobic
169,4.951443517,127,0.25,62.4,0.097,PPG(Mw: 1000),1,1,17,0,0,1000,1,-1,,Hydrophobic
170,4.147523866,118,0.22,65.9,0.122,PPG(Mw: 1000),1,1,17,0,0,1000,5,-1,,Hydrophobic
171,3.368122977,105,0.23,66.3,0.127,PPG(Mw: 1000),1,1,17,0,0,1000,10,-1,,Hydrophobic
172,3.03338361,106,0.21,66.8,0.139,PPG(Mw: 1000),1,1,17,0,0,1000,20,-1,,Hydrophobic
173,4.927014082,157,0.24,73.8,0.082,PPG(Mw: 2000),1,1,34,0,0,2000,1,-1,,Hydrophobic
174,2.104980017,111,0.21,77.8,0.14,PPG(Mw: 2000),1,1,34,0,0,2000,5,-1,,Hydrophobic
175,1.443804602,95,0.13,78.2,0.137,PPG(Mw: 2000),1,1,34,0,0,2000,10,-1,,Hydrophobic
176,0.879702194,96,0.13,77.6,0.15,PPG(Mw: 2000),1,1,34,0,0,2000,20,-1,,Hydrophobic
177,1.546298572,164,0.25,73.1,0.075,PPG(Mw: 4000),1,1,68,0,0,4000,1,-1,,Hydrophobic
178,1.083720368,148,0.22,80.2,0.146,PPG(Mw: 4000),1,1,68,0,0,4000,5,-1,,Hydrophobic
179,1.013170932,155,0.23,82.4,0.147,PPG(Mw: 4000),1,1,68,0,0,4000,10,-1,,Hydrophobic
180,1.100972592,149,0.25,81.8,0.145,PPG(Mw: 4000),1,1,68,0,0,4000,20,-1,,Hydrophobic
